clinic_name,first_name,last_name,email,phone,address,website,source_query
Aeolus Animal Hospital & Equine,,,eben@eyebytes.com,+1 (802) 362-2241," 145 Harmony Ln, East Dorset, VT 05253, United States",http://aeolusvet.com,Google_Maps_veterinarian Bennington VT
Affectionately Cats,,,user@domain.com,+1 (802) 860-2287," 60 Commerce St, Williston, VT 05495, United States",http://www.affectionatelycats.com,Google_Maps_veterinarian Williston VT
All Creatures Veterinary Clinic,,,,+1 (802) 496-7272," 38 N Main St, Waterbury, VT 05671, United States",,Google_Maps_veterinarian Waterbury VT
All Points Animal Care,,,info@apacvet.com,+1 (802) 747-9088," 170 N Main St, Rutland, VT 05701, United States",http://www.apacvet.com,Google_Maps_veterinarian Rutland VT
Animal Hospital South Woodstock,,,,+1 (802) 200-5235," 23 Elm St South, Woodstock, VT 05091, United States",,Google_Maps_veterinarian Hartford VT
Animal Hospital of Hinesburg,,,hello@hinesburgvtvet.com,+1 (802) 557-0884," 205 Commerce St, Hinesburg, VT 05461, United States",https://hinesburgvtvet.com,Google_Maps_veterinarian Shelburne VT
Animal Housecalls,,,,+1 (802) 872-0730," 155 Osgood Hill Rd, Essex Junction, VT 05452, United States",https://allvetnearme.com/animal-housecalls,Google_Maps_veterinarian Essex VT
"Animal Sound, LLC",,,apm@animalsoundvet.com,+1 (802) 432-8359," 288 Gully Rd, Woodstock, VT 05091, United States",http://animalsoundvet.com,Google_Maps_veterinarian Hartford VT
Animal Vet,,,,," 2719-2815 Derby Line Rd, Derby, VT 05829, United States",,Google_Maps_veterinarian Derby VT
Arlington Animal Hospital,,,info@thearlingtonvet.com,+1 (802) 375-9491," 3195 Vermont Rte 7a, Arlington, VT 05250, United States",http://www.thearlingtonvet.com,Google_Maps_veterinarian Bennington VT
Arlington Equine,,,beth@arlingtonequine.com,+1 (802) 375-9322," 969 Trumbull Hill Rd, Shaftsbury, VT 05262, United States",http://www.arlingtonequine.com,Google_Maps_equine veterinarian Vermont
Barre Animal Hospital,,,,+1 (802) 476-4151," 678 S Barre Rd, South Barre, VT 05670, United States",,Google_Maps_veterinarian Barre VT
Bear Swamp Veterinary Services,,,,+1 (802) 223-4171," 107 E Bear Swamp Rd, Middlesex, VT 05602, United States",http://www.bearswampvet.com,Google_Maps_veterinarian Williston VT
Bobbin Mill Veterinary Services,,,madrivervet@gmail.com,+1 (802) 505-9639," 209 Bobbin Mill Rd, Warren, VT 05674, United States",http://www.bobbinmillvet.com,Google_Maps_veterinarian Williston VT
Bradford Veterinary Clinic,,,bvcofficemanager@gmail.com,+1 (802) 222-4903," 176 Waits River Rd, Bradford, VT 05033, United States",http://www.bradfordvet.com,Google_Maps_veterinarian Bradford VT
Brattleboro Veterinary Clinic,,,bratvet@yahoo.com,+1 (802) 254-8140," 852 Marlboro Rd, Brattleboro, VT 05301, United States",https://brattleborovet.com,Google_Maps_veterinarian Brattleboro VT
Bristol Animal Hospital,,,hello@bristolvtvet.com,+1 (802) 588-7387," 167 Monkton Rd, Bristol, VT 05443, United States",https://bristolvtvet.com,Google_Maps_veterinarian Williston VT
Burlington Emergency & Veterinary Specialists,,,info@bevsvt.com,+1 (802) 863-2387," 1417 Marshall Ave, Williston, VT 05495, United States",https://bevsvt.com,Google_Maps_veterinarian Burlington VT
Burlington Equine Veterinary,,,bevet@gmavt.net,+1 (802) 425-5454," 248 Plouffe Ln, Charlotte, VT 05445, United States",http://www.bevet.com,Google_Maps_veterinarian Williston VT
Castleton Corners Veterinary Clinic,,,castletonvetstaff@gmail.com,+1 (802) 468-5576," 179 VT-30, Bomoseen, VT 05732, United States",http://www.castletoncornersveterinaryclinic.com,Google_Maps_veterinarian Hartford VT
Center Rutland Animal Hospital,,,,+1 (802) 773-7966," 409 West St, Rutland, VT 05701, United States",https://myweb16.site/explore/center-rutland-animal-hospital,Google_Maps_veterinarian Rutland VT
Champlain Veterinary Clinic,,,contact@champlainvetclinic.com,+1 (802) 524-2051," 298 S Main St, St Albans City, VT 05478, United States",http://champlainvetclinic.com,Google_Maps_veterinarian Williston VT
Chelsea Animal Hospital,,,,+1 (802) 685-3232," 276 VT-110, Chelsea, VT 05038, United States",http://www.chelseaanimalhospital.com,Google_Maps_veterinarian Randolph VT
